Time,heartbeat,A_BOBIN_TYPE,B_BOBIN_TYPE,THICKNESS_ALARM,F_PRE_PRESS_COMPLETE,S_PRE_PRESS_COMPLETE,PRE_PRESS_ON,PRE_PRESS_STOP,RUN,LOW,F_INTERLOCK,S_INTERLOCK,F_GAP_CONTROL_UP,F_GAP_CONTROL_DOWN,S_GAP_CONTROL_UP,S_GAP_CONTROL_DOWN,F_ACTUAL_RUN,S_ACTUAL_RUN,F_ACTUAL_LOW,S_ACTUAL_LOW,F_GAP_CONTROL_MODE_BOTH,F_GAP_CONTROL_MODE_DS,F_GAP_CONTROL_MODE_OS,S_GAP_CONTROL_MODE_BOTH,S_GAP_CONTROL_MODE_DS,S_GAP_CONTROL_MODE_OS,F_POS_INTERLOCK,S_POS_INTERLOCK,REV_CONTROL_ON,LOT_END,F_GAP_PID_CONTROL_ON,S_GAP_PID_CONTROL_ON,F_GAP_TABLE_CONTROL_ON,S_GAP_TABLE_CONTROL_ON,F_PRESS_AUTOCONTROL_SW,S_PRESS_AUTOCONTROL_SW,F_OS_GAP_CONTROL_START,F_DS_GAP_CONTROL_START,S_OS_GAP_CONTROL_START,S_DS_GAP_CONTROL_START,F_TM_COMPLETE_FLAG,S_TM_COMPLETE_FLAG,FDS_UNDER_ROLL_INC_PV,FWS_UNDER_ROLL_INC_PV,SDS_UNDER_ROLL_INC_PV,SWS_UNDER_ROLL_INC_PV,F_OS_THICKNESS_AVG_SV,F_OS_THICKNESS,F_CENTER_THICKNESS,F_DS_THICKNESS_AVG_SV,F_DS_THICKNESS,S_OS_THICKNESS_AVG_SV,S_OS_THICKNESS,S_CENTER_THICKNESS,S_DS_THICKNESS_AVG_SV,S_DS_THICKNESS,F_CENTER_OS_DELTA_THICKNESS,F_CENTER_DS_DELTA_THICKNESS,S_CENTER_OS_DELTA_THICKNESS,S_CENTER_DS_DELTA_THICKNESS,REV_CONTROL_MIN_SPEED,REV_CONTROL_MIN_DISTANCE,REV_CONTROL_HIGH_LIMIT,REV_CONTROL_LOW_LIMIT,F_THICKNESS_CHECK_COUNT_STD,S_THICKNESS_CHECK_COUNT_STD,F_REV_CONTROL_COUNT,S_REV_CONTROL_COUNT,ROLLPRESS_PRODUCTION_DISTANCE,REV_CONTROL_THICKNESS_TABLE_1_LOW,REV_CONTROL_THICKNESS_TABLE_1_HIGH,REV_CONTROL_THICKNESS_TABLE_2_LOW,REV_CONTROL_THICKNESS_TABLE_2_HIGH,REV_CONTROL_THICKNESS_TABLE_3_LOW,REV_CONTROL_THICKNESS_TABLE_3_HIGH,REV_CONTROL_THICKNESS_TABLE_4_LOW,REV_CONTROL_THICKNESS_TABLE_4_HIGH,REV_CONTROL_THICKNESS_TABLE_5_LOW,REV_CONTROL_THICKNESS_TABLE_5_HIGH,REV_CONTROL_THICKNESS_TABLE_6_LOW,REV_CONTROL_THICKNESS_TABLE_6_HIGH,REV_CONTROL_THICKNESS_TABLE_VAL_1_F,REV_CONTROL_THICKNESS_TABLE_VAL_1_S,REV_CONTROL_THICKNESS_TABLE_VAL_2_F,REV_CONTROL_THICKNESS_TABLE_VAL_2_S,REV_CONTROL_THICKNESS_TABLE_VAL_3_F,REV_CONTROL_THICKNESS_TABLE_VAL_3_S,REV_CONTROL_THICKNESS_TABLE_VAL_4_F,REV_CONTROL_THICKNESS_TABLE_VAL_4_S,REV_CONTROL_THICKNESS_TABLE_VAL_5_F,REV_CONTROL_THICKNESS_TABLE_VAL_5_S,REV_CONTROL_THICKNESS_TABLE_VAL_6_F,REV_CONTROL_THICKNESS_TABLE_VAL_6_S,F_REV_CONTROL_DS_UPPER_SV,F_REV_CONTROL_OS_UPPER_SV,F_REV_CONTROL_DS_LOWER_SV,F_REV_CONTROL_OS_LOWER_SV,S_REV_CONTROL_DS_UPPER_SV,S_REV_CONTROL_OS_UPPER_SV,S_REV_CONTROL_DS_LOWER_SV,S_REV_CONTROL_OS_LOWER_SV,F_REV_CONTROL_SUM,S_REV_CONTROL_SUM,F_THICKNESS_CHECK_COUNT_PV,S_THICKNESS_CHECK_COUNT_PV,F_OS_THICKNESS_AVG_PV,F_DS_THICKNESS_AVG_PV,S_OS_THICKNESS_AVG_PV,S_DS_THICKNESS_AVG_PV,F_OS_GAP_CALC_OUT,F_DS_GAP_CALC_OUT,S_OS_GAP_CALC_OUT,S_DS_GAP_CALC_OUT,F_GAP_CONTROL_SUM_STD,S_GAP_CONTROL_SUM_STD,F_GAP_CONTROL_SPEED_MIN,S_GAP_CONTROL_SPEED_MIN,F_OS_GAP_CONTROL_COUNT_PV,F_DS_GAP_CONTROL_COUNT_PV,S_OS_GAP_CONTROL_COUNT_PV,S_DS_GAP_CONTROL_COUNT_PV,F_GAP_PID_CONTROL_P_GAIN,S_GAP_PID_CONTROL_P_GAIN,F_GAP_CONTROL_MIN_ERROR_STD,S_GAP_CONTROL_MIN_ERROR_STD,F_OS_GAP_THICKNESS_CHECK_COUNT_PV,F_DS_GAP_THICKNESS_CHECK_COUNT_PV,S_OS_GAP_THICKNESS_CHECK_COUNT_PV,S_DS_GAP_THICKNESS_CHECK_COUNT_PV,F_GAP_CONTROL_COMPLETE_TIME,S_GAP_CONTROL_COMPLETE_TIME,F_GAP_CONTROL_ADDITIONAL_DS,F_GAP_CONTROL_ADDITIONAL_OS,S_GAP_CONTROL_ADDITIONAL_DS,S_GAP_CONTROL_ADDITIONAL_OS,F_PRE_PRESS_STOP_TIME_MIN,S_PRE_PRESS_STOP_TIME_MIN,F_GAP_CONTROL_UPPER_LIMIT,F_GAP_CONTROL_LOWER_LIMIT,HANDSHAKE,FDS_POS_VAL,FWS_POS_VAL,SDS_POS_VAL,SWS_POS_VAL,FDS_UNDER_ROLL_PV,FWS_UNDER_ROLL_PV,SDS_UNDER_ROLL_PV,SWS_UNDER_ROLL_PV,FDS_UNDER_ROLL_SV,FWS_UNDER_ROLL_SV,SDS_UNDER_ROLL_SV,SWS_UNDER_ROLL_SV,SPEED_PV,A_BOBIN_MODEL_1,A_BOBIN_MODEL_2,A_BOBIN_MODEL_3,A_BOBIN_MODEL_4,A_BOBIN_MODEL_5,A_BOBIN_MODEL_6,A_BOBIN_MODEL_7,A_BOBIN_MODEL_8,B_BOBIN_MODEL_1,B_BOBIN_MODEL_2,B_BOBIN_MODEL_3,B_BOBIN_MODEL_4,B_BOBIN_MODEL_5,B_BOBIN_MODEL_6,B_BOBIN_MODEL_7,B_BOBIN_MODEL_8,FDS_REV_BACK_UP,FWS_REV_BACK_UP,SDS_REV_BACK_UP,SWS_REV_BACK_UP,FDS_REV_PV,FWS_REV_PV,SDS_REV_PV,SWS_REV_PV,FDS_LOAD_CELL_PV,FWS_LOAD_CELL_PV,SDS_LOAD_CELL_PV,SWS_LOAD_CELL_PV,F_GAP_CONTROL_OFFSET_HIGH,S_GAP_CONTROL_OFFSET_HIGH,F_RANGE,S_RANGE,F_GAP_CONTROL_RANGE_LOWER,S_GAP_CONTROL_RANGE_LOWER,F_GAP_CONTROL_RANGE_UPPER,S_GAP_CONTROL_RANGE_UPPER,F_WINDOW_POPUP_CONFIRM,F_WINDOW_POPUP_NUMBER,S_WINDOW_POPUP_CONFIRM,S_WINDOW_POPUP_NUMBER,F_CONTROL_INCH,S_CONTROL_INCH,CONTROL_INCH,CONTROL_FREQ,F_LOAD_CELL_BACK_UP,S_LOAD_CELL_BACK_UP,PRE_PRESS_TIME_PARA,PRE_PRESS_REV_CONTROL_T1,PRE_PRESS_REV_CONTROL_T2,PRE_PRESS_REV_CONTROL_T3,PRE_PRESS_REV_CONTROL_T4,F_PRE_PRESS_REV_CONTROL_VAL1,S_PRE_PRESS_REV_CONTROL_VAL1,F_PRE_PRESS_REV_CONTROL_VAL2,S_PRE_PRESS_REV_CONTROL_VAL2,F_PRE_PRESS_REV_CONTROL_VAL3,S_PRE_PRESS_REV_CONTROL_VAL3,F_PRE_PRESS_REV_CONTROL_VAL4,S_PRE_PRESS_REV_CONTROL_VAL4,LOADCELL_ZERO_SET,REV_CONTROL_THICKNESS_TABLE_SW_1_F,REV_CONTROL_THICKNESS_TABLE_SW_1_S,REV_CONTROL_THICKNESS_TABLE_SW_2_F,REV_CONTROL_THICKNESS_TABLE_SW_2_S,REV_CONTROL_THICKNESS_TABLE_SW_3_F,REV_CONTROL_THICKNESS_TABLE_SW_3_S,REV_CONTROL_THICKNESS_TABLE_SW_4_F,REV_CONTROL_THICKNESS_TABLE_SW_4_S,REV_CONTROL_THICKNESS_TABLE_SW_5_F,REV_CONTROL_THICKNESS_TABLE_SW_5_S,REV_CONTROL_THICKNESS_TABLE_SW_6_F,REV_CONTROL_THICKNESS_TABLE_SW_6_S,REV_CONTROL_THICKNESS_TABLE_LAMP_1_F,REV_CONTROL_THICKNESS_TABLE_LAMP_1_S,REV_CONTROL_THICKNESS_TABLE_LAMP_2_F,REV_CONTROL_THICKNESS_TABLE_LAMP_2_S,REV_CONTROL_THICKNESS_TABLE_LAMP_3_F,REV_CONTROL_THICKNESS_TABLE_LAMP_3_S,REV_CONTROL_THICKNESS_TABLE_LAMP_4_F,REV_CONTROL_THICKNESS_TABLE_LAMP_4_S,REV_CONTROL_THICKNESS_TABLE_LAMP_5_F,REV_CONTROL_THICKNESS_TABLE_LAMP_5_S,REV_CONTROL_THICKNESS_TABLE_LAMP_6_F,REV_CONTROL_THICKNESS_TABLE_LAMP_6_S
2024-02-06 17:07:43.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:44.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:45.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:46.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:48.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:49.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:50.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:51.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:52.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:54.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:55.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:56.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:57.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:07:59.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:08:00.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:08:01.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06 17:08:02.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,106,106,105,105.7,105.7,150.3,150.3,150.5,148,148,-0.1,0,0,0.2,10,5,140,10,3,5,2,0,35,0.3,0.8,0.8,1.3,1.3,1.8,1.8,2.3,2.3,2.8,2.8,7,1,1,2,1,2,1,2,2,3,4,4,5,46,46,46,46,70,70,70,70,-3,0,6,9,108,104.7,150.9,146,0,0,0,0,999,999,10,20,1,1,0,0,300,300,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
